source,target,distance,weight
0,1,-5.500970444223063e-06,1.0000055010007052
1,0,-5.500970444223063e-06,1.0000055010007052
0,2,-5.493721774239795e-06,1.0000054937519554
2,0,-5.493721774239795e-06,1.0000054937519554
0,3,-5.454850295971695e-06,1.0000054548800517
3,0,-5.454850295971695e-06,1.0000054548800517
0,4,-5.389189630942053e-06,1.0000053892186744
4,0,-5.389189630942053e-06,1.0000053892186744
0,5,-3.9305654011553554e-06,1.0000039305808506
5,0,-3.9305654011553554e-06,1.0000039305808506
0,6,-1.84212253288862e-06,1.0000018421259262
6,0,-1.84212253288862e-06,1.0000018421259262
0,7,-5.274253956122478e-06,1.000005274281774
7,0,-5.274253956122478e-06,1.000005274281774
0,8,-5.299154453672461e-06,1.0000052991825348
8,0,-5.299154453672461e-06,1.0000052991825348
0,9,-5.200038235086064e-06,1.0000052000652757
9,0,-5.200038235086064e-06,1.0000052000652757
1,2,0.10448146526662122,0.9054022466176926
2,1,0.10448146526662122,0.9054022466176926
1,3,0.14110774232507461,0.8763414381559105
3,1,0.14110774232507461,0.8763414381559105
1,4,0.28592074861442696,0.7776529005208874
4,1,0.28592074861442696,0.7776529005208874
1,5,4.447231306766799,0.1835795000586361
5,1,4.447231306766799,0.1835795000586361
1,6,9.770853730130497,0.09284315106820082
6,1,9.770853730130497,0.09284315106820082
1,7,0.9638482178677024,0.5092043218522128
7,1,0.9638482178677024,0.5092043218522128
1,8,0.8828426075459517,0.531111839084295
8,1,0.8828426075459517,0.531111839084295
1,9,1.126134431863577,0.47033714567309387
9,1,1.126134431863577,0.47033714567309387
2,3,0.10763959548739363,0.9028207406760056
3,2,0.10763959548739363,0.9028207406760056
2,4,0.29217761629847677,0.7738874187161376
4,2,0.29217761629847677,0.7738874187161376
2,5,4.101109913294119,0.1960357680970326
5,2,4.101109913294119,0.1960357680970326
2,6,9.368188040838234,0.09644886802411362
6,2,9.368188040838234,0.09644886802411362
2,7,0.678862152151631,0.5956415175113688
7,2,0.678862152151631,0.5956415175113688
2,8,0.6525464358253431,0.605126717362446
8,2,0.6525464358253431,0.605126717362446
2,9,0.9156941340774385,0.5220039996006882
9,2,0.9156941340774385,0.5220039996006882
3,4,0.21565431366856155,0.8226022716788894
4,3,0.21565431366856155,0.8226022716788894
3,5,4.048723841110694,0.19806985516957984
5,3,4.048723841110694,0.19806985516957984
3,6,9.135132226444282,0.09866669498310343
6,3,9.135132226444282,0.09866669498310343
3,7,0.7090667567595667,0.5851146516336349
7,3,0.7090667567595667,0.5851146516336349
3,8,0.6607529939555392,0.6021365029234272
8,3,0.6607529939555392,0.6021365029234272
3,9,1.0228997232106452,0.4943398768243688
9,3,1.0228997232106452,0.4943398768243688
4,5,3.548746638968122,0.2198407779921655
5,4,3.548746638968122,0.2198407779921655
4,6,8.739222836449548,0.10267759725729327
6,4,8.739222836449548,0.10267759725729327
4,7,0.07037377352608334,0.9342530849814693
7,4,0.07037377352608334,0.9342530849814693
4,8,0.05843082050136048,0.9447948610626411
8,4,0.05843082050136048,0.9447948610626411
4,9,0.2514379624985091,0.7990807614653862
9,4,0.2514379624985091,0.7990807614653862
5,6,0.1154909726684746,0.8964662417731653
6,5,0.1154909726684746,0.8964662417731653
5,7,-0.07626599493827274,1.0825627231652863
7,5,-0.07626599493827274,1.0825627231652863
5,8,-0.07653231411132919,1.0828749238125
8,5,-0.07653231411132919,1.0828749238125
5,9,-0.07133913273105891,1.0768193591928312
9,5,-0.07133913273105891,1.0768193591928312
6,7,-0.0007029451128195571,1.0007034395922432
7,6,-0.0007029451128195571,1.0007034395922432
6,8,-0.000704908787003062,1.0007054060339147
8,6,-0.000704908787003062,1.0007054060339147
6,9,-0.000697849417870728,1.0006983367517666
9,6,-0.000697849417870728,1.0006983367517666
7,8,0.06697739539171635,0.9372269781150077
8,7,0.06697739539171635,0.9372269781150077
7,9,0.26083013690354495,0.7931282499765481
9,7,0.26083013690354495,0.7931282499765481
8,9,0.20122756578344833,0.8324817282625324
9,8,0.20122756578344833,0.8324817282625324
